time,P_l
2016-06-11 13:05:00+0000,26954.44
2016-06-11 13:10:00+0000,24625.68
2016-06-11 13:15:00+0000,24381.629
2016-06-11 13:20:00+0000,25192.605
2016-06-11 13:25:00+0000,26661.11
2016-06-11 13:30:00+0000,28668.73
2016-06-11 13:35:00+0000,32271.229
2016-06-11 13:40:00+0000,24056.8
2016-06-11 13:45:00+0000,21748.683
2016-06-11 13:50:00+0000,24514.22
2016-06-11 13:55:00+0000,27215.768
2016-06-11 14:00:00+0000,26304.962
2016-06-11 14:05:00+0000,25925.247
2016-06-11 14:10:00+0000,24290.885
2016-06-11 14:15:00+0000,22530.084
2016-06-11 14:20:00+0000,23058.408
2016-06-11 14:25:00+0000,23785.775
2016-06-11 14:30:00+0000,21999.818
2016-06-11 14:35:00+0000,22276.862
2016-06-11 14:40:00+0000,23046.882
2016-06-11 14:45:00+0000,26275.787
2016-06-11 14:50:00+0000,26595.26
2016-06-11 14:55:00+0000,24798.555
2016-06-11 15:00:00+0000,21865.335
2016-06-11 15:05:00+0000,21269.439
2016-06-11 15:10:00+0000,24148.823
2016-06-11 15:15:00+0000,22636.465
2016-06-11 15:20:00+0000,26968.15
2016-06-11 15:25:00+0000,25738.84
2016-06-11 15:30:00+0000,22767.936
2016-06-11 15:35:00+0000,25982.419
2016-06-11 15:40:00+0000,24208.646
2016-06-11 15:45:00+0000,23527.946
2016-06-11 15:50:00+0000,20028.212
2016-06-11 15:55:00+0000,20657.828
2016-06-11 16:00:00+0000,22345.24
2016-06-11 16:05:00+0000,25045.69
2016-06-11 16:10:00+0000,24950.709
2016-06-11 16:15:00+0000,22940.2
2016-06-11 16:20:00+0000,21016.16
2016-06-11 16:25:00+0000,21854.607
2016-06-11 16:30:00+0000,21700.064
2016-06-11 16:35:00+0000,23054.02
2016-06-11 16:40:00+0000,19701.055
2016-06-11 16:45:00+0000,21548.97
2016-06-11 16:50:00+0000,21261.044
2016-06-11 16:55:00+0000,20294.154
2016-06-11 17:00:00+0000,20275.252
2016-06-11 17:05:00+0000,25874.754
2016-06-11 17:10:00+0000,24711.345
2016-06-11 17:15:00+0000,24423.324
2016-06-11 17:20:00+0000,25417.12
2016-06-11 17:25:00+0000,25441.1
2016-06-11 17:30:00+0000,23646.8
2016-06-11 17:35:00+0000,23343.0
2016-06-11 17:40:00+0000,22425.5
2016-06-11 17:45:00+0000,22842.2
2016-06-11 17:50:00+0000,23845.7
2016-06-11 17:55:00+0000,24740.3
2016-06-11 18:00:00+0000,25190.8
2016-06-11 18:05:00+0000,22027.42
2016-06-11 18:10:00+0000,22262.03
2016-06-11 18:15:00+0000,23087.684
2016-06-11 18:20:00+0000,22721.294
