time,P_pv,P_fu,P_fs,P_tu,P_ts,P_l
2016-06-11 09:10:00+0000,3002.95,17177.7,0.0,0.0,20.0,20160.65
2016-06-11 09:15:00+0000,2373.8,17595.8,0.0,0.0,20.0,19949.6
2016-06-11 09:20:00+0000,1389.01,19532.3,0.0,0.0,20.0,20901.31
2016-06-11 09:25:00+0000,1819.73,19829.3,0.0,0.0,20.0,21629.03
2016-06-11 09:30:00+0000,2420.15,17938.9,0.0,0.0,20.0,20339.05
2016-06-11 09:35:00+0000,2189.69,18896.6,0.0,0.0,20.0,21066.29
2016-06-11 09:40:00+0000,2045.02,19401.1,0.0,0.0,20.0,21426.12
2016-06-11 09:45:00+0000,2928.29,17588.7,0.0,0.0,20.0,20496.99
2016-06-11 09:50:00+0000,5354.35,15273.5,0.0,0.0,20.0,20607.85
2016-06-11 09:55:00+0000,7218.8,12923.6,0.0,0.0,20.0,20122.4
2016-06-11 10:00:00+0000,7684.43,12550.3,0.0,0.0,20.0,20214.73
2016-06-11 10:05:00+0000,8040.83,13079.8,0.0,0.0,20.0,21100.63
2016-06-11 10:10:00+0000,9285.61,11645.7,0.0,0.0,30.0,20901.31
2016-06-11 10:15:00+0000,8993.74,11342.6,0.0,0.0,20.0,20316.34
2016-06-11 10:20:00+0000,6654.28,13931.1,0.0,0.0,20.0,20565.38
2016-06-11 10:25:00+0000,5486.09,15690.5,0.0,0.0,20.0,21156.59
2016-06-11 10:30:00+0000,5066.86,17129.6,0.0,0.0,20.0,22176.46
2016-06-11 10:35:00+0000,6461.02,16158.5,0.0,0.0,20.0,22599.52
2016-06-11 10:40:00+0000,7507.31,13268.2,0.0,0.0,20.0,20755.51
2016-06-11 10:45:00+0000,9640.43,10880.7,0.0,0.0,20.0,20501.13
2016-06-11 10:50:00+0000,9714.83,10174.9,0.0,0.0,30.0,19859.73
2016-06-11 10:55:00+0000,8116.36,11987.7,0.0,0.0,20.0,20084.06
2016-06-11 11:00:00+0000,7857.23,11664.5,0.0,0.0,20.0,19501.73
2016-06-11 11:05:00+0000,6280.58,13146.1,0.0,0.0,20.0,19406.68
2016-06-11 11:10:00+0000,6379.54,14810.9,0.0,0.0,20.0,21170.44
2016-06-11 11:15:00+0000,7294.87,15699.2,0.0,0.0,20.0,22974.07
2016-06-11 11:20:00+0000,2757.64,17853.4,0.0,0.0,20.0,20591.04
2016-06-11 11:25:00+0000,1077.96,19115.2,0.0,0.0,20.0,20173.16
2016-06-11 11:30:00+0000,1193.62,20118.1,0.0,0.0,20.0,21291.72
2016-06-11 11:35:00+0000,1366.45,22164.1,0.0,0.0,20.0,23510.55
2016-06-11 11:40:00+0000,4262.29,18382.3,0.0,0.0,20.0,22624.59
2016-06-11 11:45:00+0000,8359.71,14555.4,0.0,0.0,20.0,22895.11
2016-06-11 11:50:00+0000,9682.67,13030.5,0.0,0.0,20.0,22693.17
2016-06-11 11:55:00+0000,10085.8,13880.5,0.0,0.0,20.0,23946.3
2016-06-11 12:00:00+0000,15454.6,10251.9,0.0,0.0,20.0,25686.5
2016-06-11 12:05:00+0000,21955.6,3030.56,0.0,116.484,30.0,24839.676
2016-06-11 12:10:00+0000,20846.4,1659.29,0.0,12.6665,20.0,22473.024
2016-06-11 12:15:00+0000,20280.1,3126.83,0.0,0.0,5.0,23401.93
2016-06-11 12:20:00+0000,17632.6,3812.75,10.0,0.0,0.0,21455.35
2016-06-11 12:25:00+0000,19457.9,2598.24,0.0,14.6983,20.0,22021.442
